id,node_type
34,file_input
109,LEFT_SHIFT
140,LEFT_SHIFT_ASSIGN
107,xor_expr
43,MINUS
91,import_as_name
35,compound_stmt
106,and_expr
112,OPEN_BRACE
21,atom_expr
62,GREATER_THAN
84,BREAK
87,ELSE
114,dictorsetmaker
49,IF
25,return_stmt
82,while_stmt
83,ELIF
60,IN
135,yield_arg
17,DOT
127,IS
46,OPEN_BRACK
86,LESS_THAN
67,GT_EQ
71,lambdef
102,NOT_EQ_2
116,AS
14,OPEN_PAREN
90,import_as_names
119,PASS
92,star_expr
139,XOR
137,AND_OP
50,if_stmt
96,SUB_ASSIGN
48,CLOSE_BRACK
93,exprlist
22,ASSIGN
8,small_stmt
18,trailer
28,INDENT
1,IMPORT
3,dotted_as_names
40,arith_expr
113,CLOSE_BRACE
19,arglist
9,simple_stmt
12,typedargslist
39,term
37,power
45,sliceop
32,funcdef
47,subscriptlist
13,COMMA
100,test_nocond
133,YIELD
73,vfpdef
2,import_name
111,POWER
120,pass_stmt
97,CONTINUE
103,DIV
27,suite
104,IDIV_ASSIGN
69,STAR
98,continue_stmt
61,testlist_star_expr
115,NOT_OP
66,STRING
20,atom
95,testlist
41,ADD
65,argument
118,RIGHT_SHIFT
54,not_test
88,FROM
125,CLASS
89,import_from
110,RIGHT_SHIFT_ASSIGN
130,except_clause
76,LT_EQ
117,OR_ASSIGN
128,TRY
5,dotted_name
26,flow_stmt
42,NUMBER
52,or_test
55,comparison
44,subscript
51,test
10,NEWLINE
63,comp_for
58,FOR
134,yield_expr
80,IDIV
7,import_stmt
105,shift_expr
131,EXCEPT
121,MULT_ASSIGN
6,NAME
53,and_test
70,LAMBDA
94,NOT
129,try_stmt
56,comp_op
75,AND
85,break_stmt
74,SEMI_COLON
16,CLOSE_PAREN
15,parameters
138,OR_OP
132,DIV_ASSIGN
11,tfpdef
68,testlist_comp
126,classdef
24,RETURN
108,expr
77,ADD_ASSIGN
4,dotted_as_name
38,factor
36,EOF
64,OR
79,MOD
101,comp_iter
31,DEF
57,EQUALS
33,COLON
99,comp_if
122,DEL
78,augassign
23,expr_stmt
136,yield_stmt
124,MOD_ASSIGN
72,varargslist
59,for_stmt
81,WHILE
123,del_stmt
30,DEDENT
29,stmt
